"Species","equal.splits","fair.proportion"
"Accipiter_cirrocephalus",16.0636207509558,16.2313261928184
"Accipiter_cooperii",18.5468790529535,19.2362922705701
"Accipiter_fasciatus",15.1840462859344,13.7555650336634
"Accipiter_gentilis",18.3751277580583,19.064540975675
"Accipiter_nisus",15.0360575982441,16.2741288479808
"Accipiter_novaehollandiae",21.998938113143,21.6220986333907
"Accipiter_striatus",14.8736963630343,16.111767612771
"Accipiter_trivirgatus",26.6580980437168,25.2296167914458
"Accipiter_virgatus",16.0296725062297,16.1973779480923
"Aegolius_acadicus",30.607148958645,27.8716203081178
"Aegolius_funereus",30.6071489588253,27.871620308298
"Aquila_audax",9.66943361972854,12.8749876257026
"Aquila_chrysaetos",9.67241334246601,12.8779673484401
"Aquila_heliaca",7.84189347246986,11.0474474784439
"Aquila_nipalensis",7.84189347245975,11.0474474784338
"Asio_flammeus",25.7863953228912,24.660558220648
"Asio_otus",25.7863953228814,24.6605582206381
"Athene_brama",23.9559274306788,26.6096227893326
"Athene_cunicularia",27.3470432650474,25.6779754551806
"Athene_noctua",23.0448185196248,25.6985138782787
"Bubo_africanus",11.6410965536393,14.5922926086992
"Bubo_ascalaphus",9.3658462468425,12.3170423019024
"Bubo_bengalensis",11.6444649728867,14.5956610279466
"Bubo_bubo",9.36584624684306,12.3170423019029
"Bubo_magellanicus",11.9032995992601,12.9049413304695
"Bubo_virginianus",11.9032995992574,12.9049413304668
"Buteo_albonotatus",4.35532744935054,7.25048684395399
"Buteo_buteo",1.64004816453741,5.36511555310548
"Buteo_hemilasius",2.1304055996486,5.26990622457878
"Buteo_jamaicensis",5.74640501915571,7.63884919931425
"Buteo_lagopus",2.6195377004191,5.99411352292189
"Buteo_lineatus",9.319788773109,9.54821450760863
"Buteo_platypterus",7.57731339151754,9.06760315928634
"Buteo_regalis",2.61953770041931,5.9941135229221
"Buteo_rufinus",1.56887943549422,5.29394682406228
"Buteo_swainsoni",5.07442740866145,7.61392140379752
"Buteogallus_anthracinus",12.7863159586269,12.2692704737829
"Buteogallus_meridionalis",9.57584095876834,11.6987445534045
"Buteogallus_urubitinga",9.57584095877618,11.6987445534123
"Circaetus_gallicus",36.000467291774,31.9665672591003
"Circus_aeruginosus",11.3594194011927,9.2330067113077
"Circus_approximans",12.3566131201358,10.2302004302507
"Circus_assimilis",11.6414035750468,9.51499088516177
"Circus_buffoni",11.8414133315875,9.71500064170249
"Circus_cinereus",7.66014794953194,8.15260708261286
