DataSet,Order,Family,Genus,Species,Lat,Long,NumObs,NumPreyTypes,rare_NT,NetSpec,yInt,MF,rare_MF,sp50,Gini,SE,rare_SE,Mass,ID_MF,MMF,MSP,MLP,MassRange,RichBirds,RichMamms,RichStrigB,RichStrigNB,RichAccB,RichAccNB,NumHabs,RangeSize,fBirds,fMamms,fIns,funidBird,funidMamm,MOS,SD,Season,Temp,Seasonality,AnnPrecip,PrecipSeason,Biome,EqSplit,FairProp
1,Strigiformes,Tytonidae,Tyto,Tyto alba,-33.675,-71.0417,1348,12,7.71,0.329068148955533,0.379637626188934,0.300445103857567,0.55,2.27160493827161,0.448702427515987,2.10499983903997,1.78801841840574,5.99973029152501,Species,3.29583686600433,2.78809290877575,5.52345892052492,234.25,160,36,6,6,7,8,0,63140525.19,0.0415430267062315,0.958456973293769,0,0.0415430267062315,0,250.5,0.805677594041249,,14.9658393859863,4.74298477172852,0.0187237989157438,99.5038375854492,12,59.0468688737535,41.6526692915822
2,Strigiformes,Tytonidae,Tyto,Tyto alba,45.364001,10.438801,875,17,9.12,0.199223350089559,0.233342854837124,0.184,0.4,3.27542372881356,0.53536488905541,2.39550030752883,2.02765654973715,5.99973029152501,Species,1.6467336971778,1.6467336971778,3.41608599415591,25.26,182,80,7,7,9,11,2,63140525.19,0.0697142857142857,0.930285714285714,0,0.0251428571428571,0.0731428571428571,10,0.582363543991003,,14.0069417953491,7.79228115081787,0.0332718230783939,20.5147800445557,4,59.0468688737535,41.6526692915822
3,Strigiformes,Tytonidae,Tyto,Tyto alba,45.364001,10.438801,521,18,8.53,0.212543152333079,0.251945272482173,0.195777351247601,0.45,3.06521739130435,0.67493058983621,2.29962350777667,1.96474515516144,5.99973029152501,Species,3.3322045101752,1.6467336971778,4.34380542185368,71.81,182,80,7,7,9,11,2,63140525.19,0.0287907869481766,0.967370441458733,0,0.00191938579654511,0.0959692898272553,77,0.741589776777767,,14.0069417953491,7.79228115081787,0.0332718230783939,20.5147800445557,4,59.0468688737535,41.6526692915822
4,Strigiformes,Tytonidae,Tyto,Tyto alba,45.364001,10.438801,2539,19,9.4,0.207987629543328,0.235652655926664,0.190232374950768,0.45,3.36382978723404,0.56515352456014,2.45888034135437,2.04192206963237,5.99973029152501,Species,3.3322045101752,1.6467336971778,4.34380542185368,71.81,182,80,7,7,9,11,2,63140525.19,0.0992516738873572,0.892477353288696,0,0.044505710909807,0.0925561244584482,77,0.84059611004236,,14.0069417953491,7.79228115081787,0.0332718230783939,20.5147800445557,4,59.0468688737535,41.6526692915822
5,Strigiformes,Tytonidae,Tyto,Tyto alba,45.364001,10.438801,799,19,9.52,0.183724268378584,0.210101584814811,0.172715894868586,0.45,3.68181818181818,0.519242711094282,2.51788829689475,2.07536476366978,5.99973029152501,Species,3.3322045101752,1.6467336971778,4.34380542185368,71.81,182,80,7,7,9,11,2,63140525.19,0.0725907384230288,0.917396745932415,0,0.0237797246558198,0.0926157697121402,77,0.743827719329104,,14.0069417953491,7.79228115081787,0.0332718230783939,20.5147800445557,4,59.0468688737535,41.6526692915822
6,Acciptriformes,Acciptridae,Accipiter,Accipiter cooperii,48.435,-123.366,2896,16,5.43,0.4721718257054,0.621475368433112,0.357069143446852,0.65,1.48939929328622,0.715630086026505,1.66930087955833,1.40308640843392,6.06301747219289,Species,4.36309862478836,3.05776766447344,7.51328362536041,1810.94,196,79,11,12,9,7,1,8393137.06,0.968008255933952,0.0319917440660475,0,0,0,78.5,1.10646116053585,Breeding,9.82810497283936,3.37912583351135,0.032997589558363,62.8784561157227,5,18.5468790529535,19.2362922705701
7,Acciptriformes,Acciptridae,Accipiter,Accipiter cooperii,42.445,-76.498,853,28,7.95,0.316280076477233,0.36445934980859,0.28253223915592,0.5,2.4364406779661,0.743345470122082,2.23271248504636,1.84043280770194,6.06301747219289,Species,4.34562195278008,2.9338568698359,7.06714080449303,1153.99,186,55,7,8,10,8,0,8393137.06,0.818288393903869,0.181711606096131,0,0,0,77.14,1.47360345199888,Breeding,8.43922424316406,9.5232400894165,0.0373038686811924,8.79450798034668,4,18.5468790529535,19.2362922705701
8,Acciptriformes,Acciptridae,Accipiter,Accipiter gentilis,41.999,-76.638,185,9,5.3,0.639779352055239,0.88536341941361,0.448648648648649,0.7,1.16379310344828,0.548611111111111,1.48891257696602,1.2892407404734,6.76393109687218,Species,6.10648822367676,4.47733681447821,6.2745925153512,442.91,175,58,5,7,9,9,0,31775270.74,0.610810810810811,0.389189189189189,0,0,0,114.61,1.37083188509436,Breeding,8.55853652954102,9.42710113525391,0.0340629778802395,10.8827953338623,4,18.3751277580583,19.064540975675
9,Acciptriformes,Acciptridae,Accipiter,Accipiter cooperii,32.21667,-110.91667,151,9,6.63,0.241955961348705,0.317306736944438,0.218543046357616,0.45,2.41071428571429,0.475528289025221,1.91672905459225,1.70297153231386,6.06301747219289,Species,NaN,3.8607297110406,5.03043792139244,105.5,198,96,13,12,12,12,1,8393137.06,1,0,0,0.218543046357616,0,NaN,NaN,Breeding,13.4776678085327,8.77174472808838,0.0369337201118469,65.5083694458008,4,18.5468790529535,19.2362922705701
10,Acciptriformes,Acciptridae,Accipiter,Accipiter cooperii,32.21667,-110.91667,77,12,7.41,0.309640055584044,0.370836403590544,0.25974025974026,0.55,2.05,0.489896101420265,2.06155768591169,1.76121098093036,6.06301747219289,Class,NaN,4.77853508473915,6.47233083843092,528.06,198,96,13,12,12,12,2,8393137.06,0.714285714285714,0.051948051948052,0,0.25974025974026,0.012987012987013,NaN,NaN,Breeding,13.4776678085327,8.77174472808838,0.0369337201118469,65.5083694458008,4,18.5468790529535,19.2362922705701
