DataSet,RaptorScientificName,Continent,Num_obs,PreyPerPellet,ecozone,ShannEnt_rare,DietRichness_rare,LocalRichness,RERichness,RaptorRichness
1,Tyto alba,South America,1348,1.3,BB,1.7990825445348049,7.66,36.0,13.0,17.0
2,Tyto alba,Europe,875,,BA,1.9985349533182957,8.895,83.0,34.0,22.0
3,Tyto alba,Europe,521,,BA,1.9394138769081493,8.47,83.0,34.0,22.0
4,Tyto alba,Europe,2539,,BA,2.0622996357993206,9.53,83.0,34.0,22.0
5,Tyto alba,Europe,799,,BA,2.104551078122516,9.805,83.0,34.0,22.0
13,Tyto alba,North America,362,,BC,1.4726144500706824,5.785,66.0,34.0,16.0
27,Tyto alba,South America,2087,,BA,0.6539456199601256,3.905,99.0,33.0,42.0
28,Tyto alba,Europe,1112,2.69,BA,1.5125596249105222,6.47,67.0,26.0,21.0
29,Tyto alba,Europe,788,3.58,BA,1.6400745388664375,6.57,67.0,26.0,21.0
30,Tyto alba,Europe,194,2.43,BA,1.4897918636779601,6.105,67.0,26.0,21.0
31,Tyto alba,Europe,349,3.14,BA,1.329588387038094,5.575,67.0,26.0,21.0
32,Tyto alba,Europe,538,3.54,BA,1.5594659543819478,6.455,67.0,26.0,21.0
33,Tyto alba,Europe,277,3.46,BA,1.492101525699761,6.32,67.0,26.0,21.0
34,Tyto alba,Europe,394,3.68,BA,1.1639131262818383,5.275,67.0,26.0,21.0
37,Tyto alba,South America,487,3.16,BA,1.0828049029673448,4.64,37.0,16.0,13.0
62,Tyto alba,North America,1272,,BC,1.8442150399389101,7.775,57.0,31.0,13.0
70,Tyto alba,North America,328,1.78,AA,0.4308557012628736,2.555,86.0,40.0,24.0
71,Tyto alba,North America,343,1.99,AA,0.47769486795418975,2.79,73.0,36.0,20.0
108,Tyto alba,Asia,207,4.92,NA,1.067220687885517,3.995,60.0,23.0,20.0
140,Tyto alba,Europe,220,,BA,1.2835959566721662,4.5,83.0,34.0,33.0
141,Tyto alba,Europe,99,,BA,1.35912318997971,4.485,83.0,34.0,33.0
142,Tyto alba,Europe,311,,BA,1.4549200810535021,5.69,83.0,34.0,33.0
143,Tyto alba,Europe,355,,BA,1.460154288863215,5.68,83.0,34.0,33.0
144,Tyto alba,Europe,288,,BA,1.4917539718091584,5.805,83.0,34.0,33.0
145,Tyto alba,Europe,404,,BA,1.4175410459441602,5.5,83.0,34.0,33.0
146,Tyto alba,Europe,154,,BA,1.6211685253377142,6.185,83.0,34.0,33.0
147,Tyto alba,Europe,81,,BA,1.6493801461184714,6.45,83.0,34.0,33.0
262,Tyto alba,North America,1156,2.33,NA,0.6383347901334191,3.375,79.0,36.0,25.0
268,Tyto alba,North America,893,2.8,BA,0.5105289697729082,2.69,57.0,29.0,16.0
280,Tyto alba,North America,303,,BA,0.6734104508359111,3.64,52.0,26.0,15.0
318,Tyto alba,South America,354,,BB,1.7705615326514748,7.21,41.0,14.0,18.0
319,Tyto alba,South America,335,,BB,1.4308943782855297,5.89,38.0,14.0,16.0
320,Tyto alba,South America,531,,BA,1.666819751458857,6.595,35.0,14.0,18.0
333,Tyto alba,Australia/Oceania,291,,BB,0.42180793817626344,2.33,53.0,5.0,23.0
365,Tyto alba,South America,93,1.01,DA,1.815686405783001,7.855,137.0,23.0,36.0
403,Tyto alba,Europe,1063,2.35,BB,0.8834294486694906,3.985,62.0,21.0,24.0
404,Tyto alba,Europe,782,2.35,BB,0.841613254880198,3.635,62.0,21.0,24.0
405,Tyto alba,Europe,934,2.35,BB,0.7217367064629251,3.425,62.0,21.0,24.0
406,Tyto alba,Europe,331,2.35,BB,0.9114461812769776,3.69,62.0,21.0,24.0
408,Tyto tenebricosa,Australia/Oceania,141,,BA,1.215565872457586,5.505,68.0,5.0,27.0
409,Tyto alba,Asia,142,,CA,1.2723382975384123,5.42,80.0,31.0,23.0
410,Tyto alba,Asia,601,,BB,0.9893724532100207,4.02,65.0,23.0,27.0
411,Tyto alba,Asia,313,,BB,1.091174337409532,4.47,65.0,23.0,27.0
412,Tyto alba,Asia,217,3.62,BB,1.3574191839759688,5.25,76.0,28.0,25.0
413,Tyto alba,Asia,79,1.72,CA,1.0498326212281952,4.51,71.0,31.0,24.0
414,Tyto alba,Asia,247,,CA,1.1684823239129654,4.83,71.0,31.0,24.0
415,Tyto alba,Asia,7966,1.33,BB,1.344828481011986,5.14,80.0,31.0,23.0
416,Tyto alba,Asia,196,1.82,CA,1.5000160005087766,5.575,35.0,16.0,5.0
417,Tyto alba,Asia,1026,,CA,1.59313414853903,6.64,83.0,35.0,23.0
428,Tyto alba,North America,13,,CA,1.0753872854664281,3.735,105.0,50.0,30.0
434,Tyto alba,South America,392,1.93,AA,1.459399781894176,5.27,63.0,28.0,13.0
478,Tyto alba,North America,1044,2.52,BB,0.955255911470902,3.79,82.0,43.0,25.0
505,Tyto alba,Africa,146,0.073,CA,1.5924307887743523,6.25,46.0,21.0,11.0
513,Tyto alba,Europe,1661,,DA,1.7882870266187465,8.245,177.0,25.0,43.0
515,Tyto alba,Asia,1590,1.37,DA,0.7798155740289957,4.33,57.0,16.0,19.0
516,Tyto alba,Asia,710,1.37,DA,1.366299952326921,6.37,57.0,16.0,19.0
517,Tyto alba,Asia,390,0.93,DA,1.8968323071814575,8.34,57.0,16.0,19.0
518,Tyto alba,Asia,644,2.49,DA,0.9960737487426009,5.275,57.0,16.0,19.0
519,Tyto alba,Asia,126,1.41,DA,0.9854497063824116,4.29,99.0,25.0,37.0
521,Tyto alba,Asia,978,1.29,DA,1.5585325094689022,6.155,99.0,25.0,37.0
525,Tyto alba,Africa,647,1.86,BA,1.1991268980083938,6.0,253.0,83.0,60.0
527,Tyto alba,Asia,297,1.71,DA,1.9162157606975612,8.255,66.0,20.0,26.0
528,Tyto alba,Asia,516,1.52,DA,0.9124128478266228,5.015,66.0,20.0,26.0
529,Tyto alba,Asia,1142,1.37,DA,0.7952522696340972,4.34,66.0,20.0,26.0
530,Tyto alba,Asia,458,1.32,DA,1.3707593570870416,5.96,66.0,20.0,26.0
