DataSet,RaptorScientificName,Continent,Num_obs,PreyPerPellet,ecozone,ShannEnt_rare,DietRichness_rare,LocalRichness,RERichness,RaptorRichness
1,Tyto alba,South America,1348,1.3,BB,2.044655080120897,11.03,36.0,13.0,17.0
2,Tyto alba,Europe,875,,BA,2.3046071236966092,14.5,83.0,34.0,22.0
3,Tyto alba,Europe,521,,BA,2.2200258556061576,12.895,83.0,34.0,22.0
4,Tyto alba,Europe,2539,,BA,2.3714083474123715,15.365,83.0,34.0,22.0
5,Tyto alba,Europe,799,,BA,2.4269176143814333,16.045,83.0,34.0,22.0
13,Tyto alba,North America,362,,BC,1.6562755543146068,9.125,66.0,34.0,16.0
27,Tyto alba,South America,2087,,BA,0.797873764472983,8.265,99.0,33.0,42.0
28,Tyto alba,Europe,1112,2.69,BA,1.7078479558157338,10.66,67.0,26.0,21.0
29,Tyto alba,Europe,788,3.58,BA,1.8437015583637462,10.325,67.0,26.0,21.0
30,Tyto alba,Europe,194,2.43,BA,1.676481143017886,10.195,67.0,26.0,21.0
31,Tyto alba,Europe,349,3.14,BA,1.5172792575651672,10.14,67.0,26.0,21.0
32,Tyto alba,Europe,538,3.54,BA,1.7512292323421474,10.26,67.0,26.0,21.0
33,Tyto alba,Europe,277,3.46,BA,1.6913691601865395,9.92,67.0,26.0,21.0
34,Tyto alba,Europe,394,3.68,BA,1.3356482713475313,9.14,67.0,26.0,21.0
37,Tyto alba,South America,487,3.16,BA,1.252556218271305,8.625,37.0,16.0,13.0
62,Tyto alba,North America,1272,,BC,2.055122831496861,11.96,57.0,31.0,13.0
70,Tyto alba,North America,328,1.78,AA,0.5078039261421079,4.29,86.0,40.0,24.0
71,Tyto alba,North America,343,1.99,AA,0.5442352504822368,5.11,73.0,36.0,20.0
108,Tyto alba,Asia,207,4.92,NA,1.1470624785189554,5.13,60.0,23.0,20.0
140,Tyto alba,Europe,220,,BA,1.3945290854655787,6.41,83.0,34.0,33.0
141,Tyto alba,Europe,99,,BA,1.456380992682473,5.545,83.0,34.0,33.0
142,Tyto alba,Europe,311,,BA,1.621795888701935,8.91,83.0,34.0,33.0
143,Tyto alba,Europe,355,,BA,1.6260312909302825,8.715,83.0,34.0,33.0
144,Tyto alba,Europe,288,,BA,1.634059840714729,8.86,83.0,34.0,33.0
145,Tyto alba,Europe,404,,BA,1.5809907743950518,8.325,83.0,34.0,33.0
146,Tyto alba,Europe,154,,BA,1.7742317364561504,7.98,83.0,34.0,33.0
147,Tyto alba,Europe,81,,BA,1.8198218929058296,8.42,83.0,34.0,33.0
262,Tyto alba,North America,1156,2.33,NA,0.7649595180640647,7.015,79.0,36.0,25.0
268,Tyto alba,North America,893,2.8,BA,0.5597959235796467,3.875,57.0,29.0,16.0
