Order,Family,Order,Family,AcceptedGenus_COL,AcceptedName_COL,sp_id,X,Y,Year,Density_km
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Alcelaphus,Alcelaphus caama,M_14,25.39,-32.1,1995,9.10E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Connochaetes,Connochaetes gnou,M_154,28.62,-28.5,1995,9.14E-01
Dasyuromorphia,Dasyuridae,Dasyuromorphia,Dasyuridae,Sarcophilus,Sarcophilus harrisii,M_641,146.52,-41.14,2005,9.14E-01
Dasyuromorphia,Dasyuridae,Dasyuromorphia,Dasyuridae,Sarcophilus,Sarcophilus harrisii,M_641,146.76,-42.65,2007,9.16E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Neotragus,Neotragus moschatus,M_344,32.2,-27.7,1994,9.16E-01
Dasyuromorphia,Dasyuridae,Dasyuromorphia,Dasyuridae,Sarcophilus,Sarcophilus harrisii,M_641,146.76,-42.65,2006,9.17E-01
Primates,Cercopithecidae,Primates,Cercopithecidae,Chlorocebus,Chlorocebus tantalus,M_148,36.05,-0.41,1970,9.20E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Madoqua,Madoqua kirkii,M_298,36.05,-0.41,1970,9.20E-01
Primates,Hominidae,Primates,Hominidae,Pan,Pan troglodytes,M_375,31.55,1.716666667,1992,9.20E-01
Primates,Hominidae,Primates,Hominidae,Pan,Pan troglodytes,M_375,31.55,1.716666667,1992,9.20E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Syncerus,Syncerus caffer,M_521,36.05,-0.41,1970,9.20E-01
Carnivora,Canidae,Carnivora,Canidae,Vulpes,Vulpes rueppellii,M_676,41.667,22.25,1993,9.20E-01
Primates,Cercopithecidae,Primates,Cercopithecidae,Miopithecus,Miopithecus talapoin,M_826,10.4,3.07,2003,9.20E-01
Carnivora,Canidae,Carnivora,Canidae,Canis,Canis aureus,M_89,35.25,-2.35,1978,9.20E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Nanger,Nanger granti,M_330,34.78,-2.33,1996,9.22E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Syncerus,Syncerus caffer,M_521,34.65,-7.53,1993,9.28E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Oryx,Oryx gazella,M_361,25.82,-27.6,1995,9.28E-01
Proboscidea,Elephantidae,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,M_280,13.6,1.2,2002,9.30E-01
Proboscidea,Elephantidae,Proboscidea,Elephantidae,Elephas,Elephas maximus,M_183,117.66,4.83,2007,9.30E-01
Cetartiodactyla,Giraffidae,Cetartiodactyla,Giraffidae,Giraffa,Giraffa camelopardalis,M_218,13.2,-19.3,1999,9.30E-01
Carnivora,Mustelidae,Carnivora,Mustelidae,Martes,Martes martes,M_612,-7.95,52.7,2016,9.30E-01
Carnivora,Canidae,Carnivora,Canidae,Urocyon,Urocyon littoralis,M_667,-118.435,33.393,2005,9.30E-01
Cetartiodactyla,Cervidae,Cetartiodactyla,Cervidae,Odocoileus,Odocoileus hemionus,M_670,-102.84,28,2001,9.30E-01
Carnivora,Canidae,Carnivora,Canidae,Vulpes,Vulpes rueppellii,M_676,41.667,22.25,1992,9.30E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Capra,Capra sibirica,M_743,6.89,44.83,2014,9.30E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Capra,Capra sibirica,M_743,6.29,44.8,2011,9.30E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Capra,Capra sibirica,M_743,7.04,45.36,2016,9.30E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Capra,Capra sibirica,M_743,12.5,47.16,2013,9.30E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Capra,Capra sibirica,M_743,10.88,46.52,2014,9.30E-01
Primates,Cercopithecidae,Primates,Cercopithecidae,Miopithecus,Miopithecus talapoin,M_826,10.4,3.07,2003,9.30E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Tragelaphus,Tragelaphus strepsiceros,M_564,16.9,-22,1988,9.30E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Ovibos,Ovibos moschatus,M_595,-114.6,69.4,1999,9.35E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Alcelaphus,Alcelaphus buselaphus,M_13,35.583,-3.167,1976,9.40E-01
Cetartiodactyla,Cervidae,Cetartiodactyla,Cervidae,Alces,Alces americanus,M_16,-100.2,50.8,1978,9.40E-01
Carnivora,Canidae,Carnivora,Canidae,Lycaon,Lycaon pictus,M_281,26.08,-14.53,2016,9.40E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Philantomba,Philantomba monticola,M_415,10.4,3.07,2003,9.40E-01
Primates,Hominidae,Primates,Hominidae,Pongo,Pongo pygmaeus,M_429,112.9,-1,2002,9.40E-01
Primates,Callitrichidae,Primates,Callitrichidae,Saguinus,Saguinus geoffroyi,M_482,-79.83333333,9.15,1983,9.40E-01
Cetartiodactyla,Suidae,Cetartiodactyla,Suidae,Sus,Sus scrofa,M_516,15.56,50.875,2002,9.40E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Bos,Bos frontalis,M_53,75.05,13.5,2007,9.40E-01
Carnivora,Canidae,Carnivora,Canidae,Vulpes,Vulpes vulpes,M_648,25.97,41.95,2019,9.40E-01
Diprotodontia,Pseudocheiridae,Diprotodontia,Pseudocheiridae,Pseudocheirus,Pseudocheirus peregrinus,M_651,148.87,-33.43,2008,9.40E-01
Carnivora,Felidae,Carnivora,Felidae,Prionailurus,Prionailurus bengalensis,M_668,20.129,103.302,2017,9.40E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Capra,Capra sibirica,M_743,6.29,44.8,2010,9.40E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Capra,Capra sibirica,M_743,13.49,46.33,2004,9.40E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Capra,Capra sibirica,M_743,13.49,46.33,2016,9.40E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Taurotragus,Taurotragus oryx,M_539,36.85,-1.37,1992,9.40E-01
Carnivora,Felidae,Carnivora,Felidae,Leopardus,Leopardus pardalis,M_266,-75.2,-1.586,2008,9.47E-01
Dasyuromorphia,Dasyuridae,Dasyuromorphia,Dasyuridae,Sarcophilus,Sarcophilus harrisii,M_641,145.63,-41.16,2012,9.49E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Connochaetes,Connochaetes taurinus,M_155,16.96,-22.5,1988,9.50E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Connochaetes,Connochaetes taurinus,M_155,16.96,-22.5,1988,9.50E-01
Primates,Cercopithecidae,Primates,Cercopithecidae,Papio,Papio ursinus,M_384,29,-29,1982,9.50E-01
Primates,Hominidae,Primates,Hominidae,Pongo,Pongo pygmaeus,M_429,97.72,3.66,1998,9.50E-01
Primates,Hominidae,Primates,Hominidae,Pongo,Pongo pygmaeus,M_429,117.7472,5.0214,2012,9.50E-01
Cetartiodactyla,Suidae,Cetartiodactyla,Suidae,Sus,Sus scrofa,M_516,8.7,44.5,1992,9.50E-01
Carnivora,Mustelidae,Carnivora,Mustelidae,Taxidea,Taxidea taxus,M_540,-106.0333333,41.63333333,1991,9.50E-01
Rodentia,Dasyproctidae,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta leporina,M_576,-40,-18.8,1995,9.50E-01
Carnivora,Mustelidae,Carnivora,Mustelidae,Meles,Meles meles,M_603,6.93,49.15,1994,9.50E-01
Proboscidea,Elephantidae,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,M_280,12.3,2.3,2003,9.50E-01
Proboscidea,Elephantidae,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,M_280,29.9,-16.2,2001,9.51E-01
Proboscidea,Elephantidae,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,M_280,25.7,-18.2,2001,9.55E-01
Cetartiodactyla,Cervidae,Cetartiodactyla,Cervidae,Mazama,Mazama americana,M_303,-72.75,-4.5,1995,9.60E-01
Primates,Hominidae,Primates,Hominidae,Pongo,Pongo pygmaeus,M_429,113.9,-2.38,1996,9.60E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Tragelaphus,Tragelaphus strepsiceros,M_564,30.5,-15.92,1999,9.60E-01
Lagomorpha,Leporidae,Lagomorpha,Leporidae,Lepus,Lepus europaeus,M_577,16.75,52.15,1998,9.60E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Capra,Capra sibirica,M_743,6.5,44.28,2012,9.60E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Capra,Capra sibirica,M_743,15.08,47.59,2016,9.60E-01
Proboscidea,Elephantidae,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,M_280,31.3,-6.9,2006,9.60E-01
Carnivora,Mustelidae,Carnivora,Mustelidae,Meles,Meles meles,M_603,16.97,49.21,1997,9.66E-01
Dasyuromorphia,Dasyuridae,Dasyuromorphia,Dasyuridae,Sarcophilus,Sarcophilus harrisii,M_641,146.76,-42.65,2007,9.68E-01
Carnivora,Mustelidae,Carnivora,Mustelidae,Martes,Martes martes,M_612,-7,52.4,2016,9.70E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Capra,Capra sibirica,M_743,14.76,47.3,2013,9.70E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Kobus,Kobus kob,M_253,31.79,2.256,1995,9.75E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Tragelaphus,Tragelaphus scriptus,M_562,-1.4,11.1,1995,9.79E-01
Primates,Hylobatidae,Primates,Hylobatidae,Hylobates,Hylobates klossii,M_241,98.8,-0.96,2007,9.80E-01
Cetartiodactyla,Cervidae,Cetartiodactyla,Cervidae,Mazama,Mazama americana,M_303,-72.75,-4.5,2012,9.80E-01
Cetartiodactyla,Cervidae,Cetartiodactyla,Cervidae,Rusa,Rusa unicolor,M_478,70.83,21.14,1988,9.80E-01
Diprotodontia,Pseudocheiridae,Diprotodontia,Pseudocheiridae,Pseudocheirus,Pseudocheirus peregrinus,M_651,148.87,-33.43,2008,9.80E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Capra,Capra sibirica,M_743,8.12,45.83,2004,9.80E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Capra,Capra sibirica,M_743,12.5,47.16,2015,9.80E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Sylvicapra,Sylvicapra grimmia,M_517,34,-12.8,1996,9.82E-01
Proboscidea,Elephantidae,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,M_280,33.5,-14.9,2006,9.85E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Damaliscus,Damaliscus korrigum,M_165,14.69,11.29,1994,9.88E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Damaliscus,Damaliscus korrigum,M_165,14.69,11.29,1994,9.88E-01
Primates,Cercopithecidae,Primates,Cercopithecidae,Chlorocebus,Chlorocebus tantalus,M_148,36.05,-0.41,1970,9.90E-01
Primates,Lemuridae,Primates,Lemuridae,Hapalemur,Hapalemur griseus,M_226,49.503,-15.311,2005,9.90E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Syncerus,Syncerus caffer,M_521,17.3,-20.3,2009,9.90E-01
Rodentia,Dasyproctidae,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta punctata,M_585,-71.7,-12.1,2006,9.90E-01
Carnivora,Canidae,Carnivora,Canidae,Otocyon,Otocyon megalotis,M_674,30.23333333,-26.2,1986,9.90E-01
Carnivora,Canidae,Carnivora,Canidae,Vulpes,Vulpes rueppellii,M_676,41.667,22.25,1992,9.90E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Capra,Capra sibirica,M_743,9.18,46.62,2008,9.90E-01
Proboscidea,Elephantidae,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,M_280,30.3,-14.3,1999,9.91E-01
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Raphicerus,Raphicerus campestris,M_458,32.2,-27.7,1994,9.96E-01
Cetartiodactyla,Cervidae,Cetartiodactyla,Cervidae,Cervus,Cervus elaphus,M_133,136.3,45.03,1982,1.00E+00
Cetartiodactyla,Cervidae,Cetartiodactyla,Cervidae,Cervus,Cervus elaphus,M_133,136.3,45.03,1999,1.00E+00
Cetartiodactyla,Cervidae,Cetartiodactyla,Cervidae,Alces,Alces americanus,M_16,14.4,57.8,1991,1.00E+00
Cetartiodactyla,Cervidae,Cetartiodactyla,Cervidae,Alces,Alces americanus,M_16,13.3,57.8,1981,1.00E+00
Cetartiodactyla,Cervidae,Cetartiodactyla,Cervidae,Alces,Alces americanus,M_16,14.5,57.2,1981,1.00E+00
Cetartiodactyla,Cervidae,Cetartiodactyla,Cervidae,Alces,Alces americanus,M_16,15.4,60.2,1998,1.00E+00
Primates,Lemuridae,Primates,Lemuridae,Eulemur,Eulemur collaris,M_195,46.851,-24.76,2001,1.00E+00
Primates,Lemuridae,Primates,Lemuridae,Eulemur,Eulemur collaris,M_195,46.77,-24.94,2001,1.00E+00
Primates,Lemuridae,Primates,Lemuridae,Eulemur,Eulemur collaris,M_195,46.845,-24.735,2001,1.00E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Gazella,Gazella bennettii,M_210,70.3,21.3,2019,1.00E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Gazella,Gazella bennettii,M_210,70.3,21.3,2019,1.00E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Gazella,Gazella bennettii,M_210,70.3,21.3,2019,1.00E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Gazella,Gazella bennettii,M_210,70.3,21.3,2019,1.00E+00
Primates,Hominidae,Primates,Hominidae,Gorilla,Gorilla gorilla,M_222,11.58333333,-0.166666667,1989,1.00E+00
Primates,Atelidae,Primates,Atelidae,Alouatta,Alouatta seniculus,M_25,-68.76666667,-6.466666667,1987,1.00E+00
Primates,Atelidae,Primates,Atelidae,Alouatta,Alouatta seniculus,M_25,-66.01666667,-3.316666667,1987,1.00E+00
Primates,Callitrichidae,Primates,Callitrichidae,Leontopithecus,Leontopithecus chrysopygus,M_264,-49.58333333,-22.3,1993,1.00E+00
Lagomorpha,Leporidae,Lagomorpha,Leporidae,Lepus,Lepus timidus,M_275,-6.658222,54.755861,2013,1.00E+00
Proboscidea,Elephantidae,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,M_280,31.9,3.7,1998,1.00E+00
Proboscidea,Elephantidae,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,M_280,31.9,-21.6,2001,1.00E+00
Cetartiodactyla,Tragulidae,Cetartiodactyla,Tragulidae,Moschiola,Moschiola meminna,M_317,86.34,21.79,2012,1.00E+00
Cetartiodactyla,Cervidae,Cetartiodactyla,Cervidae,Odocoileus,Odocoileus virginianus,M_352,-68.15,8.83333333,1997,1.00E+00
Primates,Hominidae,Primates,Hominidae,Pongo,Pongo abelii,M_428,98.06666667,3.033333333,1971,1.00E+00
Primates,Hominidae,Primates,Hominidae,Pongo,Pongo pygmaeus,M_429,117.7472,5.0214,2010,1.00E+00
Primates,Hominidae,Primates,Hominidae,Pongo,Pongo pygmaeus,M_429,117.4666667,0.533333333,1982,1.00E+00
Primates,Cercopithecidae,Primates,Cercopithecidae,Presbytis,Presbytis femoralis,M_432,103.15,2.733333333,1978,1.00E+00
Primates,Indriidae,Primates,Indriidae,Propithecus,Propithecus verreauxi,M_453,46.613,-24.827,1999,1.00E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Pseudois,Pseudois nayaur,M_455,92,35.83,1991,1.00E+00
Cetartiodactyla,Cervidae,Cetartiodactyla,Cervidae,Rusa,Rusa unicolor,M_478,70.16,21.4,2019,1.00E+00
Cetartiodactyla,Cervidae,Cetartiodactyla,Cervidae,Axis,Axis axis,M_48,86.34,21.79,2011,1.00E+00
Cetartiodactyla,Cervidae,Cetartiodactyla,Cervidae,Axis,Axis axis,M_48,86.34,21.79,2011,1.00E+00
Cetartiodactyla,Cervidae,Cetartiodactyla,Cervidae,Axis,Axis axis,M_48,86.34,21.79,2014,1.00E+00
Cetartiodactyla,Suidae,Cetartiodactyla,Suidae,Sus,Sus scrofa,M_516,-121.36,36.3,1994,1.00E+00
Cetartiodactyla,Suidae,Cetartiodactyla,Suidae,Sus,Sus scrofa,M_516,71.47,21.32,2019,1.00E+00
Cetartiodactyla,Suidae,Cetartiodactyla,Suidae,Sus,Sus scrofa,M_516,71.25,21.11,2019,1.00E+00
Cetartiodactyla,Suidae,Cetartiodactyla,Suidae,Sus,Sus scrofa,M_516,71.05,20.8,2019,1.00E+00
Cetartiodactyla,Suidae,Cetartiodactyla,Suidae,Sus,Sus scrofa,M_516,70.3,21.3,2019,1.00E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Boselaphus,Boselaphus tragocamelus,M_55,70.3,21.3,2019,1.00E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Tragelaphus,Tragelaphus strepsiceros,M_564,29.45907539,-15.96544128,1971,1.00E+00
Diprotodontia,Macropodidae,Diprotodontia,Macropodidae,Macropus,Macropus rufus,M_573,139.4,-30,1983,1.00E+00
Lagomorpha,Leporidae,Lagomorpha,Leporidae,Lepus,Lepus europaeus,M_577,7.5255,47.4208,2011,1.00E+00
Lagomorpha,Leporidae,Lagomorpha,Leporidae,Lepus,Lepus europaeus,M_577,7.5255,47.4208,2013,1.00E+00
Lagomorpha,Leporidae,Lagomorpha,Leporidae,Lepus,Lepus europaeus,M_577,9.53,45.24,2003,1.00E+00
Carnivora,Viverridae,Carnivora,Viverridae,Civettictis,Civettictis civetta,M_607,9.666666667,-2.208333333,1988,1.00E+00
Lagomorpha,Leporidae,Lagomorpha,Leporidae,Lepus,Lepus californicus,M_639,-106.96,29.55,1998,1.00E+00
Lagomorpha,Leporidae,Lagomorpha,Leporidae,Lepus,Lepus callotis,M_640,-106.96,29.55,1998,1.00E+00
Lagomorpha,Leporidae,Lagomorpha,Leporidae,Lepus,Lepus callotis,M_640,-106.96,29.55,1998,1.00E+00
Dasyuromorphia,Dasyuridae,Dasyuromorphia,Dasyuridae,Sarcophilus,Sarcophilus harrisii,M_641,145.63,-41.16,2011,1.00E+00
Carnivora,Canidae,Carnivora,Canidae,Otocyon,Otocyon megalotis,M_674,34.25,-2.167,1977,1.00E+00
Chiroptera,Vespertilionidae,Chiroptera,Vespertilionidae,Myotis,Myotis daubentonii,M_715,-1.54,54,1987,1.00E+00
Chiroptera,Pteropodidae,Chiroptera,Pteropodidae,Pteropus,Pteropus dasymallus,M_728,128.018,26.703,2005,1.00E+00
Carnivora,Felidae,Carnivora,Felidae,Leopardus,Leopardus geoffroyi,M_740,-65.55,-37.95,2007,1.00E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Capra,Capra sibirica,M_743,6.29,44.8,2012,1.00E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Capra,Capra sibirica,M_743,12.5,47.16,2012,1.00E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Capra,Capra sibirica,M_743,12.24,46.64,2004,1.00E+00
Cetartiodactyla,Cervidae,Cetartiodactyla,Cervidae,Capreolus,Capreolus capreolus,M_91,136.3,45.03,1985,1.00E+00
Cetartiodactyla,Cervidae,Cetartiodactyla,Cervidae,Capreolus,Capreolus capreolus,M_91,136.3,45.03,1995,1.00E+00
Cetartiodactyla,Cervidae,Cetartiodactyla,Cervidae,Capreolus,Capreolus capreolus,M_91,136.3,45.03,1987,1.00E+00
Primates,Cebidae,Primates,Cebidae,Sapajus,Sapajus apella,M_95,-61.43333333,3.366666667,1992,1.00E+00
Primates,Cebidae,Primates,Cebidae,Sapajus,Sapajus apella,M_95,-48.25,-24.333,1994,1.00E+00
Perissodactyla,Equidae,Perissodactyla,Equidae,Equus,Equus quagga,M_185,31.3,-6.9,1990,1.01E+00
Primates,Cercopithecidae,Primates,Cercopithecidae,Papio,Papio anubis,M_380,36.05,-0.41,1970,1.01E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Philantomba,Philantomba monticola,M_415,10.4,3.07,2003,1.01E+00
Primates,Hominidae,Primates,Hominidae,Pongo,Pongo pygmaeus,M_429,113.2,1.2,2005,1.01E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Taurotragus,Taurotragus oryx,M_539,35.583,-3.167,1974,1.01E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Syncerus,Syncerus caffer,M_521,37.23,-7.42,1994,1.01E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Damaliscus,Damaliscus pygargus,M_167,25.39,-32.1,1995,1.01E+00
Dasyuromorphia,Dasyuridae,Dasyuromorphia,Dasyuridae,Sarcophilus,Sarcophilus harrisii,M_641,145,-41.79,2007,1.02E+00
Dasyuromorphia,Dasyuridae,Dasyuromorphia,Dasyuridae,Sarcophilus,Sarcophilus harrisii,M_641,145,-41.79,2006,1.02E+00
Dasyuromorphia,Dasyuridae,Dasyuromorphia,Dasyuridae,Sarcophilus,Sarcophilus harrisii,M_641,145.63,-41.16,2014,1.02E+00
Dasyuromorphia,Dasyuridae,Dasyuromorphia,Dasyuridae,Sarcophilus,Sarcophilus harrisii,M_641,146.49,-42.13,2004,1.02E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Bos,Bos grunniens,M_54,92,35.83,1991,1.02E+00
Primates,Cercopithecidae,Primates,Cercopithecidae,Macaca,Macaca mulatta,M_287,89.00833,22.00833,2011,1.02E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Syncerus,Syncerus caffer,M_521,36.05,-0.41,1970,1.02E+00
Perissodactyla,Tapiridae,Perissodactyla,Tapiridae,Tapirella,Tapirella bairdii,M_533,-77.183,7.817,2012,1.02E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Tragelaphus,Tragelaphus scriptus,M_562,36.05,-0.41,1970,1.02E+00
Rodentia,Hystricidae,Rodentia,Hystricidae,Hystrix,Hystrix brachyura,M_598,102.5,4.772178,2000,1.02E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Capra,Capra sibirica,M_743,12.5,47.16,2014,1.02E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Eudorcas,Eudorcas thomsonii,M_192,36.85,-1.37,1992,1.03E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Pelea,Pelea capreolus,M_389,28.9,-28.7,1994,1.03E+00
Carnivora,Felidae,Carnivora,Felidae,Leptailurus,Leptailurus serval,M_637,29.175431,-26.529339,2015,1.03E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Alcelaphus,Alcelaphus caama,M_14,25.82,-27.6,1995,1.03E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Taurotragus,Taurotragus oryx,M_539,30.95,-0.62,1995,1.04E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Alcelaphus,Alcelaphus lichtensteinii,M_15,31.3,-6.7,1995,1.04E+00
Primates,Lemuridae,Primates,Lemuridae,Hapalemur,Hapalemur griseus,M_226,49.805,-15.116,2005,1.04E+00
Hyracoidea,Procaviidae,Hyracoidea,Procaviidae,Heterohyrax,Heterohyrax brucei,M_230,28.479,-20.344,1996,1.04E+00
Primates,Hominidae,Primates,Hominidae,Pongo,Pongo pygmaeus,M_429,97.4,4.1,1998,1.04E+00
Primates,Hominidae,Primates,Hominidae,Pongo,Pongo pygmaeus,M_429,118.25,5.05,2002,1.04E+00
Cetartiodactyla,Tayassuidae,Cetartiodactyla,Tayassuidae,Tayassu,Tayassu pecari,M_541,-61.9,-26.1,2002,1.04E+00
Carnivora,Mustelidae,Carnivora,Mustelidae,Meles,Meles meles,M_603,7,47.03,1995,1.04E+00
Carnivora,Mustelidae,Carnivora,Mustelidae,Meles,Meles meles,M_603,16.3,49.16,1997,1.04E+00
Lagomorpha,Leporidae,Lagomorpha,Leporidae,Lepus,Lepus insularis,M_656,-110.368,24.5,2014,1.04E+00
Carnivora,Canidae,Carnivora,Canidae,Urocyon,Urocyon littoralis,M_667,-118.542,33.453,1999,1.04E+00
Rodentia,Dasyproctidae,Rodentia,Dasyproctidae,Dasyprocta,Dasyprocta fuliginosa,M_690,-72.75,-4.5,2012,1.04E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Capra,Capra sibirica,M_743,8.23,46.27,2004,1.04E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Capra,Capra sibirica,M_743,7.54,45.48,2015,1.04E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Damaliscus,Damaliscus lunatus,M_166,36,5.8,1997,1.04E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Damaliscus,Damaliscus lunatus,M_166,36,5.8,1997,1.04E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Redunca,Redunca redunca,M_467,34.78,-2.33,1990,1.05E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Kobus,Kobus kob,M_253,30.39,0.925,1995,1.05E+00
Primates,Atelidae,Primates,Atelidae,Alouatta,Alouatta seniculus,M_25,-69.5,-1.583333333,2001,1.05E+00
Lagomorpha,Leporidae,Lagomorpha,Leporidae,Lepus,Lepus californicus,M_639,-111.8,24.44,2012,1.05E+00
Carnivora,Canidae,Carnivora,Canidae,Vulpes,Vulpes vulpes,M_648,-3.43,52.5,1996,1.05E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Kobus,Kobus kob,M_253,1.443,11.54,1998,1.05E+00
Proboscidea,Elephantidae,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,M_280,38,2.2,2005,1.06E+00
Dasyuromorphia,Dasyuridae,Dasyuromorphia,Dasyuridae,Sarcophilus,Sarcophilus harrisii,M_641,146.76,-42.65,2007,1.06E+00
Cingulata,Dasypodidae,Cingulata,Dasypodidae,Euphractus,Euphractus sexcinctus,M_204,-56.65,-18.98,2003,1.06E+00
Cetartiodactyla,Giraffidae,Cetartiodactyla,Giraffidae,Giraffa,Giraffa camelopardalis,M_218,13.2,-19.3,1999,1.06E+00
Primates,Hominidae,Primates,Hominidae,Pongo,Pongo pygmaeus,M_429,113,-1.44,2005,1.06E+00
Cetartiodactyla,Suidae,Cetartiodactyla,Suidae,Sus,Sus scrofa,M_516,22.277,54.103,2002,1.06E+00
Carnivora,Felidae,Carnivora,Felidae,Felis,Felis silvestris,M_638,25.97,41.95,2019,1.06E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Connochaetes,Connochaetes taurinus,M_155,37.44,-8.85,1994,1.06E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Connochaetes,Connochaetes taurinus,M_155,37.44,-8.85,1994,1.06E+00
Dasyuromorphia,Dasyuridae,Dasyuromorphia,Dasyuridae,Sarcophilus,Sarcophilus harrisii,M_641,145,-41.79,2014,1.07E+00
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Nanger,Nanger granti,M_330,36.85,-1.37,1992,1.07E+00
