Order,Family,Order,Family,AcceptedGenus_COL,AcceptedName_COL,sp_id,X,Y,Year,Density_km
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,132.5,43.6,2012,2.18E-03
Carnivora,Hyaenidae,Carnivora,Hyaenidae,Crocuta,Crocuta crocuta,M_157,37.6,-2.9,2007,2.20E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Eudorcas,Eudorcas rufifrons,M_191,21.39,8.907,1995,2.20E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,96.76667,26.5,2004,2.20E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Redunca,Redunca redunca,M_467,14.45,9.6,1996,2.20E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Tragelaphus,Tragelaphus strepsiceros,M_564,38.5,-3,1997,2.20E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,132.5,43.6,2009,2.26E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Hippotragus,Hippotragus equinus,M_234,31.6,-24,1996,2.30E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Nanger,Nanger dama,M_329,9,18,1991,2.30E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,81.85,23.95833,2018,2.30E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Hippotragus,Hippotragus equinus,M_234,23,-18,1988,2.40E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera pardus,M_377,24.55,-33.73,2011,2.40E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,130.74,42.94,2014,2.40E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Tragelaphus,Tragelaphus imberbis,M_561,37.6,-2.9,2010,2.40E-03
Proboscidea,Elephantidae,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,M_280,11.7,7.5,2002,2.50E-03
Proboscidea,Elephantidae,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana,M_280,-4.6,9.9,2005,2.50E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Redunca,Redunca fulvorufula,M_466,37.44,-8.85,1994,2.50E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,132.5,43.6,2011,2.54E-03
Cetartiodactyla,Bovidae,Cetartiodactyla,Bovidae,Redunca,Redunca fulvorufula,M_466,20.6,-18.8,1988,2.60E-03
Carnivora,Felidae,Carnivora,Felidae,Panthera,Panthera tigris,M_378,132.5,43.6,2011,2.66E-03
