DataSet,RaptorScientificName,Continent,Num_obs,PreyPerPellet,ecozone,ShannEnt_rare,DietRichness_rare,LocalRichness,RERichness,RaptorRichness
1,Tyto alba,South America,1348,1.3,BB,1.9541093172479664,9.605,36.0,13.0,17.0
2,Tyto alba,Europe,875,,BA,2.1901429247217186,11.64,83.0,34.0,22.0
3,Tyto alba,Europe,521,,BA,2.1067074057965285,10.59,83.0,34.0,22.0
4,Tyto alba,Europe,2539,,BA,2.229448901233747,12.165,83.0,34.0,22.0
5,Tyto alba,Europe,799,,BA,2.2946120379872763,12.755,83.0,34.0,22.0
13,Tyto alba,North America,362,,BC,1.5763860156440461,7.12,66.0,34.0,16.0
27,Tyto alba,South America,2087,,BA,0.714405108385126,5.485,99.0,33.0,42.0
28,Tyto alba,Europe,1112,2.69,BA,1.624422329417517,8.125,67.0,26.0,21.0
29,Tyto alba,Europe,788,3.58,BA,1.760223233967906,8.24,67.0,26.0,21.0
30,Tyto alba,Europe,194,2.43,BA,1.5881273695222786,7.895,67.0,26.0,21.0
31,Tyto alba,Europe,349,3.14,BA,1.4343413499472737,7.545,67.0,26.0,21.0
32,Tyto alba,Europe,538,3.54,BA,1.6736446562644807,8.045,67.0,26.0,21.0
33,Tyto alba,Europe,277,3.46,BA,1.6048869358223312,7.995,67.0,26.0,21.0
34,Tyto alba,Europe,394,3.68,BA,1.2672573290162044,6.9,67.0,26.0,21.0
37,Tyto alba,South America,487,3.16,BA,1.1890320758682986,6.335,37.0,16.0,13.0
62,Tyto alba,North America,1272,,BC,1.986543233584985,9.76,57.0,31.0,13.0
70,Tyto alba,North America,328,1.78,AA,0.49444418173085125,3.22,86.0,40.0,24.0
71,Tyto alba,North America,343,1.99,AA,0.5014108528990149,3.585,73.0,36.0,20.0
108,Tyto alba,Asia,207,4.92,NA,1.092572922102233,4.44,60.0,23.0,20.0
140,Tyto alba,Europe,220,,BA,1.3538352060407433,5.315,83.0,34.0,33.0
