DataSet,RaptorScientificName,Continent,Num_obs,PreyPerPellet,ecozone,ShannEnt_rare,DietRichness_rare,LocalRichness,RERichness,RaptorRichness,dens_slopes,pval_dens,numb_prey,numb_prey_spp,baow_a,obs_largest_prey_freq,NE_intake,sum_R,FreqBirds,NumPos
517,Tyto alba,Asia,390,0.93,DA,1.8968323071814575,8.34,57.0,16.0,19.0,-0.2090909090909095,0.5372209352113222,307.0,11.0,0.007476190539333493,0.23778501628664495,109.4102589576547,136.48771495279146,0.13076923076923078,1.0
518,Tyto alba,Asia,644,2.49,DA,0.9960737487426009,5.275,57.0,16.0,19.0,0.23636363636363653,0.5108853175151999,591.0,10.0,0.008499010791005075,0.043993231810490696,179.66854111675127,120.06199172558466,0.046583850931677016,0.0
519,Tyto alba,Asia,126,1.41,DA,0.9854497063824116,4.29,99.0,25.0,37.0,-0.4999999999999997,0.666666666666667,115.0,3.0,0.025921194645236345,0.17391304347826086,119.66768086956522,39.36578453388648,0.015873015873015872,0.0
521,Tyto alba,Asia,978,1.29,DA,1.5585325094689022,6.155,99.0,25.0,37.0,-0.3142857142857143,0.5440932944606414,887.0,6.0,0.014810272372371744,0.23900789177001128,149.58727786150834,68.89867637875832,0.019427402862985686,0.0
525,Tyto alba,Africa,647,1.86,BA,1.1991268980083938,6.0,253.0,83.0,60.0,0.4313081554460866,0.021929395695195922,632.0,28.0,0.004030038983902471,0.02531645569620253,114.45453101265821,253.20056886328135,0.015455950540958269,0.0
527,Tyto alba,Asia,297,1.71,DA,1.9162157606975612,8.255,66.0,20.0,26.0,-0.1090909090909097,0.749508596234147,226.0,11.0,0.007476190539333493,0.25663716814159293,209.90189469026546,136.48771495279146,0.13804713804713806,1.0
528,Tyto alba,Asia,516,1.52,DA,0.9124128478266228,5.015,66.0,20.0,26.0,0.1272727272727275,0.7260570147627889,471.0,10.0,0.008499010791005075,0.04883227176220807,111.10670743099787,120.06199172558466,0.05426356589147287,0.0
529,Tyto alba,Asia,1142,1.37,DA,0.7952522696340972,4.34,66.0,20.0,26.0,0.016666666666667027,0.9660548039946854,1130.0,9.0,0.00951025601646638,0.05929203539823009,108.14392035398231,107.29555140245824,0.00788091068301226,0.0
530,Tyto alba,Asia,458,1.32,DA,1.3707593570870416,5.96,66.0,20.0,26.0,-0.5833333333333327,0.09918581647988343,407.0,9.0,0.009181707666379465,0.06388206388206388,132.4610918918919,111.13489999270192,0.09606986899563319,0.0
535,Tyto alba,South America,1145,1.79,NA,2.0994541698145555,9.65,33.0,15.0,11.0,0.32417582417582425,0.27988186889313993,1046.0,13.0,0.006008176295680201,0.0057361376673040155,142.56222265774377,169.8365881838331,0.00960698689956332,0.0
544,Tyto alba,Europe,125,2.78,BA,1.578061822764319,6.54,83.0,34.0,22.0,0.13333333333333328,0.7323675052362975,125.0,9.0,0.007282369402793956,0.264,51.166456,140.12035188352516,0.0,0.0
567,Tyto alba,Asia,156,,DA,1.8556094374397092,7.895,69.0,18.0,30.0,0.10000000000000066,0.8728885715695374,64.0,5.0,0.0,0.375,,50.23169367397395,0.0,0.0
585,Tyto alba,Europe,2414,,BA,1.2744178078302093,4.57,37.0,13.0,18.0,0.28571428571428503,0.49272624501695794,2404.0,8.0,0.0,0.0016638935108153079,,114.30145856920532,0.003728251864125932,0.0
603,Tyto alba,Europe,98,2.58,BA,1.5574429844805653,6.255,83.0,34.0,22.0,0.07142857142857173,0.8665262706759082,98.0,8.0,0.008244902397153477,0.3163265306122449,48.88283877551021,123.76230962025681,0.0,0.0
611,Tyto alba,North America,224,,DB,1.8224368940124398,8.86,15.0,1.0,3.0,0.88095238095238,0.0038503204637324257,83.0,8.0,0.0,0.24096385542168675,,44.22123121891006,0.1875,0.0
612,Tyto alba,North America,293,,DB,1.8446982841172948,8.64,15.0,1.0,3.0,0.6666666666666664,0.04986723056888514,118.0,9.0,0.0,0.2033898305084746,,46.87449046428786,0.16382252559726962,0.0
617,Tyto alba,South America,755,3.24,DA,1.5628963504025568,7.425,177.0,25.0,43.0,0.5000000000000004,0.6666666666666665,143.0,3.0,0.033842643220383335,0.7412587412587412,562.6438993006993,30.15155041585868,0.16821192052980133,0.0
620,Tyto alba,Australia/Oceania,139,4.34,CA,0.13125502059111116,1.605,31.0,5.0,21.0,1.0000000000000009,0.0,136.0,3.0,0.023655920152431113,0.9852941176470589,70.26013235294117,43.13542473470173,0.0,0.0
621,Tyto alba,Australia/Oceania,229,4.32,CA,0.8085939898851509,4.055,31.0,5.0,21.0,0.7999999999999997,0.1999999999999998,184.0,4.0,0.01673388357499946,0.010869565217391304,68.526,60.97856236969422,0.048034934497816595,0.0
622,Tyto alba,Australia/Oceania,67,4.47,CA,0.5174231507312226,2.8,31.0,5.0,21.0,1.0,1.0,58.0,2.0,0.03160092069645968,0.9655172413793104,71.55082758620688,32.29045675810403,0.0,0.0
631,Tyto alba,Australia/Oceania,241,4.82,CA,0.19267426629944254,1.87,31.0,5.0,21.0,1.0000000000000009,0.0,235.0,3.0,0.025861420374945127,0.01276595744680851,78.47882978723405,39.45677184281381,0.0,0.0
688,Tyto alba,Australia/Oceania,288,5.14,CA,0.12579636955606938,1.61,31.0,5.0,21.0,1.0000000000000009,0.0,280.0,3.0,0.022340418115108698,0.9928571428571429,83.31481071428571,45.67542818615422,0.010416666666666666,0.0
689,Tyto alba,Australia/Oceania,229,4.98,CA,0.18105189922342313,1.805,31.0,5.0,21.0,0.5000000000000004,0.6666666666666665,222.0,3.0,0.02365592015243111,0.9864864864864865,80.71077027027027,43.13542473470173,0.0,0.0
694,Tyto alba,Australia/Oceania,303,2.12,CA,1.0171138588728135,4.325,38.0,7.0,14.0,0.5357142857142855,0.21521745567801281,295.0,7.0,0.009653562898589122,0.6508474576271186,103.41827118644068,105.70275182175897,0.0,0.0
699,Tyto alba,Australia/Oceania,138,5.31,CA,0.2456073246386241,1.925,31.0,5.0,21.0,1.0,1.0,130.0,2.0,0.03566388781485291,0.007692307692307693,86.44067307692306,28.611803866216103,0.0,0.0
700,Tyto alba,North America,2223,,BB,1.6273777875479407,7.35,93.0,47.0,22.0,0.561764705882353,0.0235370164742808,2104.0,16.0,0.0,0.002376425855513308,,205.10833180085677,0.048582995951417005,0.0
