DataSet,RaptorScientificName,Continent,Num_obs,PreyPerPellet,ecozone,ShannEnt_rare,DietRichness_rare,LocalRichness,RERichness,RaptorRichness
2948,Tyto alba,Europe,3339,2.76,BA,1.5664866731808578,10.73,80.0,28.0,29.0
2949,Tyto alba,Europe,3274,2.77,BA,1.2564782682998747,9.765,80.0,28.0,29.0
2951,Tyto alba,Africa,272,,BB,1.8922345810517924,11.21,53.0,20.0,22.0
2959,Tyto alba,South America,590,,BB,1.8079584360604541,8.865,63.0,28.0,20.0
2960,Tyto alba,South America,981,,BB,2.0400510535108496,9.975,63.0,28.0,20.0
2961,Tyto alba,South America,871,,BB,1.9025303098089452,9.83,63.0,28.0,20.0
2962,Tyto alba,South America,291,,BB,1.8845692592880254,9.49,49.0,20.0,17.0
2963,Tyto alba,South America,380,,BB,1.7522423478622102,8.735,49.0,20.0,17.0
2964,Tyto alba,South America,128,,BB,2.0431926818962634,9.4,49.0,20.0,17.0
2965,Tyto alba,South America,253,,BB,2.0559591793595393,10.73,49.0,20.0,17.0
2966,Tyto alba,South America,139,,BB,1.8988490018912294,9.07,49.0,20.0,17.0
2967,Tyto alba,South America,175,,BB,1.971839724692453,9.44,49.0,20.0,17.0
2968,Tyto alba,South America,111,,BB,1.8270873110882806,9.575,40.0,17.0,14.0
2969,Tyto alba,South America,118,,BB,1.1614580120691536,5.61,23.0,9.0,13.0
2990,Tyto alba,South America,547,1.02,CA,2.2114919327582108,13.13,42.0,22.0,12.0
3000,Tyto alba,South America,26,1.0,BB,1.7328769395170818,6.81,38.0,13.0,18.0
3001,Tyto alba,South America,52,1.93,BB,2.0197740071872983,9.1,38.0,13.0,18.0
3002,Tyto alba,South America,137,2.85,BB,1.8203992097203932,8.535,38.0,13.0,18.0
3012,Tyto alba,Asia,14632,,BB,1.626968239625515,8.43,83.0,35.0,23.0
3025,Tyto alba,Europe,8145,3.4,BA,1.8401971639194088,10.915,59.0,24.0,19.0
3049,Tyto alba,Europe,21609,2.15,BB,1.8505163998192984,10.415,75.0,27.0,27.0
3053,Tyto alba,North America,950,2.7,CA,1.3496265296082421,5.355,60.0,24.0,17.0
3054,Tyto alba,North America,208,1.96,CA,0.798363787625265,4.315,60.0,24.0,17.0
3060,Tyto alba,Africa,203,,DA,2.1097787985878496,11.705,131.0,45.0,38.0
3061,Tyto alba,Africa,118,,DA,1.9780678893155674,9.675,131.0,45.0,38.0
3066,Tyto glaucops,North America,3827,,DB,2.4365029890230883,21.555,20.0,2.0,8.0
3067,Tyto alba,North America,4495,,DB,1.716401812326894,14.92,20.0,2.0,8.0
3077,Tyto alba,Europe,667,5.05,BB,1.1316176050639444,4.285,75.0,28.0,26.0
3086,Tyto alba,South America,176,3.14,BA,1.8527910490878818,8.71,59.0,26.0,20.0
3087,Tyto alba,South America,113,1.82,BA,1.7073833639597773,7.94,59.0,26.0,20.0
3088,Tyto alba,South America,766,,BA,1.662261537226232,10.38,255.0,65.0,74.0
3089,Tyto alba,South America,369,,BA,1.4497351197243082,7.925,255.0,65.0,74.0
3092,Tyto alba,Asia,4016,,BB,1.4528989432348458,7.03,80.0,31.0,23.0
3103,Tyto alba,Africa,1421,,DA,1.508147371779104,6.505,147.0,35.0,52.0
3104,Tyto alba,Africa,282,,DA,1.7419137758813972,6.96,147.0,35.0,52.0
3120,Tyto alba,Africa,94,2.04,BA,1.3868041336273418,7.225,240.0,81.0,62.0
3121,Tyto alba,Australia/Oceania,208,,DA,2.0178458525409586,9.77,35.0,7.0,16.0
3122,Tyto alba,Australia/Oceania,48,4.8,DA,1.6095847196295316,9.535,35.0,7.0,16.0
3123,Tyto alba,Australia/Oceania,82,3.73,DA,1.937674524295869,10.505,35.0,7.0,16.0
3124,Tyto alba,Australia/Oceania,282,3.62,DA,1.2587212192546005,7.97,35.0,7.0,16.0
3125,Tyto alba,Australia/Oceania,164,3.04,DA,1.7409699564356351,11.205,35.0,7.0,16.0
3126,Tyto alba,Australia/Oceania,77,3.67,DA,0.9578137089485551,5.91,35.0,7.0,16.0
3127,Tyto alba,Australia/Oceania,63,2.42,DA,0.07729501932760051,1.585,35.0,7.0,16.0
3128,Tyto alba,Australia/Oceania,49,2.33,DA,1.396163265044035,7.01,35.0,7.0,16.0
3129,Tyto alba,Australia/Oceania,41,2.93,DA,0.10812771681801721,1.72,35.0,7.0,16.0
3130,Tyto alba,Australia/Oceania,40,2.67,DA,1.428680765737979,6.36,35.0,7.0,16.0
3131,Tyto alba,Australia/Oceania,151,2.19,DA,1.5487265856120984,9.08,35.0,7.0,16.0
3132,Tyto alba,Australia/Oceania,238,3.09,DA,1.3799639416119536,6.86,35.0,8.0,14.0
3133,Tyto alba,Australia/Oceania,522,5.27,DA,2.23802118354095,13.785,33.0,9.0,16.0
3134,Tyto alba,Australia/Oceania,26,,DA,1.9463484653046896,9.39,35.0,8.0,14.0
3135,Tyto alba,Australia/Oceania,86,4.1,DA,1.0725547367975772,5.35,33.0,8.0,16.0
3136,Tyto alba,Australia/Oceania,55,2.75,DA,1.6510602155618466,7.645,30.0,5.0,14.0
3137,Tyto alba,Australia/Oceania,93,2.66,CA,1.0983702077534145,6.275,30.0,5.0,14.0
3138,Tyto alba,Europe,42,1.83,BC,1.1905532503570389,8.16,73.0,28.0,25.0
3139,Tyto alba,Europe,81,1.8,BC,2.21501028031088,13.255,73.0,28.0,25.0
3140,Tyto alba,Europe,243,1.52,BC,1.4891151399611011,10.34,73.0,28.0,25.0
3141,Tyto alba,Europe,359,1.95,BC,1.6670878308603063,10.29,73.0,28.0,25.0
3142,Tyto alba,Europe,214,2.21,BC,1.2736290729474695,8.95,73.0,28.0,25.0
3143,Tyto alba,Europe,501,1.94,BC,1.3408462137629544,8.895,73.0,28.0,25.0
3144,Tyto alba,Europe,12,2.0,BC,0.28029911132276863,1.995,73.0,28.0,25.0
3145,Tyto alba,Europe,211,2.07,BC,1.222798791268868,7.23,73.0,28.0,25.0
3146,Tyto alba,Europe,256,2.29,BC,1.0956749246080335,7.385,73.0,28.0,25.0
3147,Tyto alba,Europe,24,2.67,BC,0.45236315245828235,2.875,73.0,28.0,25.0
3148,Tyto alba,Europe,144,2.09,BC,1.609616561400887,8.93,73.0,28.0,25.0
3149,Tyto alba,Europe,530,2.26,BC,1.168016798760029,8.43,73.0,28.0,25.0
3150,Tyto alba,Europe,39,1.7,BC,0.9006131382664039,4.595,73.0,28.0,25.0
3151,Tyto alba,Europe,311,2.43,BC,1.4699329185598498,7.695,73.0,28.0,25.0
3152,Tyto alba,Europe,25,1.56,BC,0.6124919673824399,4.425,73.0,28.0,25.0
3169,Tyto alba,Europe,1915,,BA,1.2391922697410849,7.365,60.0,25.0,21.0
3170,Tyto alba,Africa,226,3.83,DA,2.0401219946790223,12.11,33.0,4.0,17.0
3179,Tyto alba,Africa,2478,9.95,DA,1.4482513719258678,8.865,53.0,6.0,17.0
3180,Tyto alba,Africa,547,3.3,DA,1.8130649106534336,9.925,53.0,6.0,17.0
3181,Tyto alba,South America,148,,DB,0.9004257874470807,6.385,125.0,20.0,42.0
