DataSet,RaptorScientificName,Continent,Num_obs,PreyPerPellet,ecozone,ShannEnt_rare,DietRichness_rare,LocalRichness,RERichness,RaptorRichness
1,Tyto alba,South America,1348,1.3,BB,1.9187202729001223,8.97,36.0,13.0,17.0
2,Tyto alba,Europe,875,,BA,2.1289122361796013,10.52,83.0,34.0,22.0
3,Tyto alba,Europe,521,,BA,2.0640842218906528,9.855,83.0,34.0,22.0
4,Tyto alba,Europe,2539,,BA,2.1904954188521857,11.35,83.0,34.0,22.0
5,Tyto alba,Europe,799,,BA,2.2270494329485815,11.465,83.0,34.0,22.0
13,Tyto alba,North America,362,,BC,1.5589304256911216,6.59,66.0,34.0,16.0
27,Tyto alba,South America,2087,,BA,0.6981508608015439,4.83,99.0,33.0,42.0
28,Tyto alba,Europe,1112,2.69,BA,1.6018817408130934,7.46,67.0,26.0,21.0
29,Tyto alba,Europe,788,3.58,BA,1.7216057109504772,7.635,67.0,26.0,21.0
30,Tyto alba,Europe,194,2.43,BA,1.5225787866830722,6.97,67.0,26.0,21.0
31,Tyto alba,Europe,349,3.14,BA,1.3737070113481686,6.47,67.0,26.0,21.0
32,Tyto alba,Europe,538,3.54,BA,1.602245105660638,7.28,67.0,26.0,21.0
33,Tyto alba,Europe,277,3.46,BA,1.5718884375403004,7.305,67.0,26.0,21.0
34,Tyto alba,Europe,394,3.68,BA,1.222761843408623,6.2,67.0,26.0,21.0
37,Tyto alba,South America,487,3.16,BA,1.1730813187554405,5.74,37.0,16.0,13.0
62,Tyto alba,North America,1272,,BC,1.9345554954964619,8.815,57.0,31.0,13.0
70,Tyto alba,North America,328,1.78,AA,0.4446338590954471,2.83,86.0,40.0,24.0
71,Tyto alba,North America,343,1.99,AA,0.47936695652586403,3.13,73.0,36.0,20.0
108,Tyto alba,Asia,207,4.92,NA,1.1073887742857353,4.34,60.0,23.0,20.0
140,Tyto alba,Europe,220,,BA,1.345896531676888,5.01,83.0,34.0,33.0
141,Tyto alba,Europe,99,,BA,1.4009596671886209,4.67,83.0,34.0,33.0
142,Tyto alba,Europe,311,,BA,1.5045866216747021,6.43,83.0,34.0,33.0
143,Tyto alba,Europe,355,,BA,1.5288082566816887,6.425,83.0,34.0,33.0
144,Tyto alba,Europe,288,,BA,1.52598850813421,6.425,83.0,34.0,33.0
