DataSet,RaptorScientificName,Continent,Num_obs,PreyPerPellet,ecozone,ShannEnt_rare,DietRichness_rare,LocalRichness,RERichness,RaptorRichness
1109,Tyto alba,North America,252,2.16,DA,1.1309549408583073,4.325,53.0,21.0,18.0
1110,Tyto alba,North America,33,1.44,DA,0.7665496770645975,2.495,53.0,21.0,18.0
1111,Tyto alba,North America,14,1.57,DA,0.5850371340806424,2.685,53.0,21.0,18.0
1112,Tyto alba,Africa,52,1.68,DA,0.7758198853248899,3.415,70.0,30.0,37.0
1113,Tyto alba,Africa,184,1.45,DA,0.36069880518365816,2.525,70.0,30.0,37.0
1114,Tyto alba,Africa,45,1.15,DA,0.37808148123281315,2.56,70.0,30.0,37.0
1115,Tyto alba,Africa,45,1.41,DA,0.9934033875109225,4.655,70.0,30.0,37.0
1116,Tyto alba,Africa,98,1.69,DA,0.6716212418342518,3.685,70.0,30.0,37.0
1117,Tyto alba,Africa,63,1.03,DA,0.6223755848971205,3.315,70.0,30.0,37.0
1118,Tyto alba,Africa,58,1.09,DA,0.3650167281109439,2.595,70.0,30.0,37.0
1119,Tyto alba,Africa,212,1.41,DA,1.3181371254034175,5.52,69.0,29.0,31.0
1120,Tyto alba,North America,37,,BC,1.1068151799375519,3.785,62.0,31.0,14.0
1121,Tyto alba,North America,46,,BC,1.534909490823133,5.955,62.0,31.0,14.0
1122,Tyto alba,North America,64,,BC,1.2968837231087853,5.035,62.0,31.0,14.0
1123,Tyto alba,North America,45,,BC,1.5281661556678885,5.795,62.0,31.0,14.0
1124,Tyto alba,North America,187,,BC,1.5436997012741294,6.25,62.0,31.0,14.0
1125,Tyto alba,North America,21,,BC,0.919219034714763,3.725,62.0,31.0,14.0
1126,Tyto alba,North America,28,,BC,0.9300494212086996,4.01,62.0,31.0,14.0
1148,Tyto alba,Africa,186,,DA,1.597385449679633,6.955,158.0,42.0,51.0
1149,Tyto alba,Africa,117,,DA,1.2957566486843093,5.935,158.0,42.0,51.0
1150,Tyto alba,Africa,87,,DA,1.2378861988216414,4.9,158.0,42.0,51.0
1151,Tyto alba,Africa,119,,DA,1.1001067241577944,5.32,158.0,42.0,51.0
1152,Tyto alba,Africa,102,,DA,0.7213533069855659,3.79,158.0,42.0,51.0
1153,Tyto alba,Africa,97,,DA,1.3398574860404926,5.18,158.0,42.0,51.0
1154,Tyto alba,Africa,73,,DA,1.2283523426085123,5.14,158.0,42.0,51.0
1155,Tyto alba,Africa,54,,DA,1.2333180523649987,5.625,158.0,42.0,51.0
1156,Tyto alba,Africa,36,,DA,1.181520092873165,4.585,158.0,42.0,51.0
1157,Tyto alba,Africa,90,,DA,1.5809930571523605,7.09,158.0,42.0,51.0
1158,Tyto alba,Africa,55,,DA,1.2715982244395045,5.275,158.0,42.0,51.0
1159,Tyto alba,Africa,126,,DA,1.6670192434254885,6.62,158.0,42.0,51.0
1160,Tyto alba,Africa,94,,DA,1.461975677058279,5.575,158.0,42.0,51.0
1161,Tyto capensis,Africa,101,,DA,1.454885483039208,6.015,158.0,42.0,51.0
1162,Tyto capensis,Africa,46,2.19,DA,1.5400604984891002,5.57,158.0,42.0,51.0
